step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl
92,0.5905,0.3929,0.9933,1326,0.004464,149.9,76.85,9.99e-06,0.0424,0.9904,0.9981,0.001395,0.4197,0,0.007203,1.589,1.521
93,0.5621,0.3661,0.9911,865.7,0.008929,149.9,52.07,9.99e-06,0.07862,0.9811,0.9915,0.003541,0.3661,0,0.004916,1.882,1.733
94,0.5277,0.3304,0.9955,778.7,0.004464,149.9,52.84,9.99e-06,0.09234,0.9817,0.9939,0.003889,0.4081,0,0.004805,1.893,1.716
95,0.5598,0.3616,0.9955,644.7,0.004464,149.9,48.04,9.99e-06,0.1019,0.979,0.9928,0.004502,0.3728,0,0.003946,1.96,1.762
96,0.6022,0.4062,0.9911,732.9,0.008929,149.9,68.04,9.99e-06,0.105,0.9844,0.9936,0.002811,0.4536,0,0.006016,1.883,1.685
97,0.5349,0.3438,0.9821,1312,0.01786,149.9,71.42,9.99e-06,0.03778,0.9915,0.9977,0.001068,0.379,0,0.007699,1.469,1.413
98,0.514,0.3259,0.9777,1270,0.02232,149.9,84.4,9.99e-06,0.04682,0.9883,0.9964,0.001732,0.4092,0,0.007004,1.627,1.547
99,0.5592,0.3616,0.9955,772.1,0.004464,149.9,42.32,9.99e-06,0.07732,0.9856,0.9952,0.002514,0.4437,0,0.004982,2.007,1.849
100,0.6334,0.4375,0.9911,1151,0.008929,149.9,56.91,9.99e-06,0.05829,0.9836,0.9937,0.003494,0.4711,0,0.009624,1.94,1.812
101,0.5813,0.3839,0.9866,766.9,0,149.9,39.99,9.99e-06,0.07156,0.9802,0.9937,0.004316,0.4462,0,0.006256,2.225,2.051
102,0.6821,0.4821,1,707.3,0,149.9,18.33,9.99e-06,0.07555,0.9854,0.9953,0.001905,0.4871,0,0.005822,2.088,1.931
103,0.5482,0.3482,1,673.2,0,149.9,41.26,9.99e-06,0.08807,0.9803,0.9916,0.003787,0.4479,0,0.005904,2.08,1.896
104,0.6351,0.442,0.9844,855.6,0.01339,150,96,9.99e-06,0.0658,0.9866,0.9971,0.001759,0.4542,0,0.005596,1.948,1.822
105,0.6098,0.4241,0.9688,1146,0.03125,150,92.31,9.99e-06,0.07196,0.9829,0.9952,0.003404,0.4422,0,0.008265,1.976,1.827
106,0.6448,0.4464,0.9933,1038,0,150,52.43,9.99e-06,0.05949,0.9865,0.9954,0.00236,0.4237,0,0.005942,1.74,1.634
107,0.548,0.3527,0.9888,855.1,0.008929,150,85.21,9.99e-06,0.06868,0.9839,0.9939,0.002812,0.4257,0,0.005173,1.706,1.587
